,dataset,ind,DF_CC_overall,DF_CC_keep,DF_CC_notkeep,DF_avg_voxel
0,P0115,0,0.15153561106743732,0.4308708091268909,0.040968816351497815,1.0971437692642212
0,P0115,9,0.13237402788866223,0.4082136165778095,0.03749961669616721,1.0441915883348558
0,P0115,11,0.1188160376033015,0.4206945403089062,0.012065516062347069,1.062109992231077
0,P0115,6,0.13940704985987915,0.3724729524717064,0.06499449985343271,1.0059298372322807
0,P0115,7,0.14791780503343385,0.3903451527533145,0.0682071905183837,1.0219918370748846
0,P0115,10,0.13257930411554475,0.41938901395098394,0.03223895744982327,1.0551917335755079
0,P0115,4,0.14955723031600437,0.35231516154728837,0.08923317216822399,0.9710251677226245
0,P0115,5,0.14709212546312994,0.36218920397658483,0.08066020696943108,0.9894170419408446
0,P0115,2,-0.029024696582913033,0.21528660238599567,-0.09552353157087282,0.9133858343599677
0,P0115,8,0.14224056733799015,0.4012869730284676,0.05503941815772388,1.0324891863019954
0,P0115,3,-0.02953397428707455,0.21728573944319376,-0.09664857180134669,0.9135951062553732
0,P0116,0,0.08158928735603248,0.14953676244110106,0.07106125077745637,0.8242709040641785
0,P0116,9,-0.02211201526546091,0.03994560740957577,-0.031459066450988164,0.8414368280840522
0,P0116,11,-0.02025353980153023,0.05239015876537361,-0.0312638856285927,0.8458013495423473
0,P0116,6,0.01811972423900922,0.059248075071265976,0.012040444167025387,0.8385524586413519
0,P0116,7,0.002736265181427036,0.04912927813358056,-0.004179198625666235,0.8407450931726382
0,P0116,10,-0.018173301567751668,0.046428635467523995,-0.027966879707233914,0.8453934336609876
0,P0116,4,0.06363691170214776,0.09217907470254752,0.059503926765237816,0.8303674632397976
0,P0116,5,0.03985385083817603,0.06951895367333062,0.03554338165048139,0.8320511704994832
0,P0116,2,-0.10990995541144978,-0.05979566430240807,-0.1169649134206011,0.8136662916267957
0,P0116,8,0.002292970096246862,0.05372225414877911,-0.0053882838274224645,0.8385412055178784
0,P0116,3,-0.10797114959331891,-0.05450572315891586,-0.1154685060108075,0.8124755052367904
0,P0123,0,0.018698193776350576,0.2616400296272312,-0.032379659925963415,0.9331229329109192
0,P0123,9,-0.04253530651189513,0.09077333248289111,-0.06363164496657663,0.83027693592933
0,P0123,11,-0.05525488839258836,0.08301397572392162,-0.07718013431443392,0.8320227286916839
0,P0123,6,-0.02191609412145257,0.09505926214629139,-0.04034866532820132,0.8295943475221244
0,P0123,7,-0.019896271032561894,0.10057329591687304,-0.03891365246032474,0.8291492279525746
0,P0123,10,-0.05372612728837745,0.0830418948037375,-0.07536809191713152,0.8295199713957399
0,P0123,4,-0.013062608020798038,0.09608152971470409,-0.030053552995630325,0.8242145239040505
0,P0123,5,-0.013084349698774545,0.09729191368394578,-0.030383346047176154,0.8269226081484424
0,P0123,2,-0.16322644114404813,-0.04853213393481245,-0.1806652373127441,0.7972590757075554
0,P0123,8,-0.03757941045274866,0.09076135457978582,-0.05786179432972565,0.8291304602854408
0,P0123,3,-0.1642546770666022,-0.047795402725666424,-0.18199706951097644,0.7967912322430557
0,P0124,0,0.043879899121203214,0.010032462535240818,0.04628278544377649,0.6551243662834167
0,P0124,9,-0.06428279660498165,-0.04908852089355052,-0.06543525502319071,0.7380867699633037
0,P0124,11,-0.07962094497333091,-0.059549171103015996,-0.08113405002379945,0.7352628274464431
0,P0124,6,-0.018419251928371648,-0.0024465356821196512,-0.019643726554375136,0.7520938907573861
0,P0124,7,-0.02258013579396895,-0.005563631357913218,-0.02387703587650687,0.7465860397690787
0,P0124,10,-0.07248227686848435,-0.058421721412438024,-0.07354746175244609,0.7372461010850037
0,P0124,4,0.014960655084552863,0.026613479471904993,0.014045357436790157,0.7718323057104449
0,P0124,5,0.009776921553715621,0.03195409334408384,0.008049160704109649,0.7636697305872342
0,P0124,2,-0.2058008413981461,-0.20969698181291965,-0.20549079875647627,0.7805602414155406
0,P0124,8,-0.05048920484504063,-0.03623433068182563,-0.05157589697237162,0.7448406278622962
0,P0124,3,-0.20006751447085777,-0.20325515879287667,-0.1998167966161872,0.7803440872056943
0,P0131,0,0.11506915201901648,0.19300672456108953,0.09988352381045457,0.8670215010643005
0,P0131,9,0.16683374111846686,0.26747110318530615,0.14775662127185477,0.89548878234879
0,P0131,11,0.16246893872243262,0.269965278255437,0.1418901761837135,0.9015765474554732
0,P0131,6,0.20853181240111876,0.28567301340029605,0.1943484082459606,0.8819078235122594
0,P0131,7,0.19309434372980128,0.2769492575691079,0.17741464159524514,0.8912169754548572
0,P0131,10,0.16397030555105632,0.26877144090659344,0.14394495424818354,0.9007494893077679
0,P0131,4,0.23942652364794723,0.30259815309052485,0.2279395434573232,0.8746226683182643
0,P0131,5,0.20985195424232106,0.2754157945267767,0.19787444994371337,0.8820054003969687
0,P0131,2,0.0951037928108344,0.1865162512415869,0.07916018533642827,0.8581710392285471
0,P0131,8,0.18218601715410718,0.2731906329486938,0.16506013398592362,0.8932849405543271
0,P0131,3,0.08459725956243995,0.17767380887616074,0.06837365100811328,0.8583304718404812
0,P0132,0,0.0660486542582067,0.21726865127476824,0.029339915114708133,1.074866771697998
0,P0132,9,0.003497365166764526,0.1804555580625357,-0.027664708017868682,0.9427811382721065
0,P0132,11,-0.007557522747574306,0.17964621386804103,-0.04123717696327833,0.9551209358642864
0,P0132,6,0.042279685734186,0.18101778825805726,0.01915270172149861,0.9154646336551231
0,P0132,7,0.030547884756891706,0.18435807139206808,0.004356682571769555,0.9261914852257731
0,P0132,10,-0.002435612159220129,0.18083476708863314,-0.03507586090295775,0.9479734059197189
0,P0132,4,0.09757912470313511,0.21311539972562485,0.07900444056596724,0.893491644158103
0,P0132,5,0.07676443023955244,0.20409355759757788,0.05591146744332105,0.9058111883689834
0,P0132,2,-0.02623741678207608,0.11701997465626506,-0.049049226508365636,0.8983756929581268
0,P0132,8,0.00970555038448175,0.17651265391462936,-0.019256916620965375,0.9341544157433371
0,P0132,3,-0.024725909795441113,0.12266863748662273,-0.04820486105153688,0.8957436469690143
0,P0137,0,0.1380649603481328,0.39814406883448317,0.06421263248378141,1.0611056089401245
0,P0137,9,0.020360838802787752,0.20083894753992848,-0.024233653133223447,1.0203429969591442
0,P0137,11,0.023164094971189153,0.21363726737403838,-0.02477856920405484,1.035263526786052
0,P0137,6,0.05496422696004827,0.19718612529666396,0.02127984895069472,0.9967220334198594
0,P0137,7,0.04849896931252045,0.1977468196447504,0.012476770337711303,1.008330652671604
0,P0137,10,0.031670296387126935,0.21548154230678065,-0.014244813417628252,1.028040350869732
0,P0137,4,0.07592383835266545,0.2013649645790814,0.04752567503650637,0.9735854457229793
0,P0137,5,0.06662264282043112,0.19852880141906068,0.036135354626925145,0.9847881678052902
0,P0137,2,-0.1419531508955744,0.027516431195140193,-0.17525452640827047,0.884252250970283
0,P0137,8,0.036464125356791256,0.20335258983524326,-0.004309625629876938,1.0120747224847124
