,dataset,ind,DF_CC_overall,DF_CC_keep,DF_CC_notkeep,DF_avg_voxel
0,P0124,11,-0.07962094497333091,-0.03683735227075085,-0.08042791034710263,0.714695957543608
0,P0124,6,-0.018419251928371648,0.015180330636960167,-0.01906720017363921,0.7385342628577808
0,P0124,7,-0.02258013579396895,0.01373436858783082,-0.023277304562766492,0.7328363861016003
0,P0124,10,-0.07248227686848435,-0.03887584909399811,-0.07311992050438898,0.7157998193529899
0,P0124,4,0.014960655084552863,0.03615939753355104,0.014532775480096958,0.7700737040562304
0,P0124,5,0.009776921553715621,0.045314833504063214,0.009074015857273379,0.757667101692702
0,P0124,2,-0.2058008413981461,-0.18516358796430182,-0.2062335182520972,0.7789978892502164
0,P0124,8,-0.05048920484504063,-0.009352899558958716,-0.051269417955408896,0.7253828385427183
0,P0124,3,-0.20006751447085777,-0.1779948970194526,-0.20053410659751755,0.7793181749105076
0,P0131,0,0.11506915201901648,0.3242976263358976,0.09983684701080595,0.9645422697067261
0,P0131,9,0.16683374111846686,0.327916830208598,0.15504923944721563,1.0107506675520945
0,P0131,11,0.16246893872243262,0.3304535952647759,0.14991375830560827,1.0315578410610642
0,P0131,6,0.20853181240111876,0.33557582450543694,0.19974444513251122,0.9708959330619416
0,P0131,7,0.19309434372980128,0.3283857727321282,0.1834963089182914,0.9904579807383751
0,P0131,10,0.16397030555105632,0.3291405003307699,0.15172202100355842,1.0237209468368071
0,P0131,4,0.23942652364794723,0.3477898523351472,0.2321787503466639,0.9356064972662838
0,P0131,5,0.20985195424232106,0.3279957146175849,0.201788231012718,0.9635492888442055
0,P0131,2,0.0951037928108344,0.24213724711919965,0.08566764506146962,0.9216398915432302
0,P0131,8,0.18218601715410718,0.3278964705345267,0.17167665215171746,1.0014884865984945
0,P0131,3,0.08459725956243995,0.236396890218308,0.07487155392093832,0.9206828456370085
0,P0132,0,0.0660486542582067,0.3180859332330617,0.042686915734950606,1.4295973777770996
0,P0132,9,0.003497365166764526,0.2562591579060392,-0.012558985664940563,1.1137501762774698
0,P0132,11,-0.007557522747574306,0.25736715255144993,-0.02506181359395594,1.1495825009074696
0,P0132,6,0.042279685734186,0.24727453303396338,0.030435743785975626,1.0448824420462484
0,P0132,7,0.030547884756891706,0.2525389730371291,0.017244994737149112,1.0717327955680687
0,P0132,10,-0.002435612159220129,0.2581790066841232,-0.019376825625603028,1.1320080176590375
0,P0132,4,0.09757912470313511,0.27037214237173457,0.088183542161487,0.998699254319154
0,P0132,5,0.07676443023955244,0.26320060700654685,0.06629287188030615,1.0253693617001718
0,P0132,2,-0.02623741678207608,0.18718717524800763,-0.03777895086383623,1.0005778354748087
0,P0132,8,0.00970555038448175,0.24929129242504264,-0.005170752695826327,1.0946773108765429
0,P0132,3,-0.024725909795441113,0.1882838431660612,-0.03621025635006702,0.9958827945030119
0,P0137,0,0.1380649603481328,0.48394330818607467,0.1010658233006155,1.3111236095428467
0,P0137,9,0.020360838802787752,0.2856928068798108,-0.0033472927675950405,1.1718149816346561
0,P0137,11,0.023164094971189153,0.29986641779072687,-0.002359453544011162,1.2098432742853673
0,P0137,6,0.05496422696004827,0.2709073283290894,0.0369630571521876,1.1174945512631362
0,P0137,7,0.04849896931252045,0.2732573086958003,0.029325340446968617,1.1332201891467515
0,P0137,10,0.031670296387126935,0.29878840655398997,0.0073489381070884745,1.1929307904844275
0,P0137,4,0.07592383835266545,0.2677148049469295,0.060878679234166504,1.0691160617505555
0,P0137,5,0.06662264282043112,0.2687090753540473,0.05033117008832292,1.0917218898919503
0,P0137,2,-0.1419531508955744,0.12524283012507995,-0.1601603850402908,0.9616365022483644
0,P0137,8,0.036464125356791256,0.28306759177032165,0.014816242853657267,1.1539233316192055
0,P0137,3,-0.13660183276699958,0.1318237826558085,-0.15492776277204523,0.9641971281549521
0,P0138,0,0.008376728274974331,0.3043741070058992,-0.025956000133533594,1.3761998414993286
0,P0138,9,-0.07963464842122779,0.16466165339807526,-0.09742465254669505,1.0987184839489967
0,P0138,11,-0.09226929769344955,0.16334466799300595,-0.11176446915445318,1.13608875184061
0,P0138,6,-0.032707653571512334,0.16417124410797893,-0.04558377553721367,1.0258766272365414
0,P0138,7,-0.04238100104765408,0.16760890117456181,-0.05664815543861864,1.0491137914182849
0,P0138,10,-0.08968124013687266,0.16417555408536416,-0.10868282854194666,1.1199143040984643
0,P0138,4,-0.022314624120309875,0.15257225957960907,-0.03266098031842402,0.9652544876742238
0,P0138,5,-0.03595858859960326,0.15421269438583782,-0.047787274258127614,0.9948218450679502
0,P0138,2,-0.1845738514556321,0.005217373873273543,-0.1947051663054535,0.8804232376219729
0,P0138,8,-0.06594868594931971,0.1642956956600483,-0.0822576062569226,1.0803659378591624
0,P0138,3,-0.18084802934150943,0.007391805592227853,-0.19080647874811404,0.8751585124572128
0,P0139,0,0.1370009690962896,0.36994816268757214,0.10934071971475177,1.3256300687789917
0,P0139,9,0.20150627931921364,0.42973994227581275,0.17860049432654762,1.1724922824014485
0,P0139,11,0.20747883683479132,0.44607507353037484,0.183044270440949,1.2006215318256293
0,P0139,6,0.19210581402115165,0.3946423217369439,0.17280343251071018,1.1216101812970753
0,P0139,7,0.20111546832306929,0.4077125390977452,0.18103693064993787,1.1395655890558978
0,P0139,10,0.2057830864744132,0.4384181195925122,0.18214844753793566,1.19022415223802
0,P0139,4,0.1783936113610969,0.3774122350710033,0.16034832277645072,1.0804450496727682
0,P0139,5,0.18552445748418225,0.3833730359128926,0.16706802206422486,1.1039339682141935
0,P0139,2,0.023879836833005104,0.29440117949892525,0.0011987135422391441,1.02476413444835
0,P0139,8,0.20350613953991006,0.42005165816791706,0.18208478723986413,1.1567348743597858
0,P0139,3,0.019910236930974014,0.2933699906547705,-0.0029314340231725916,1.0222978189274967
0,P0142,0,-0.039855543086177316,0.23996668605434734,-0.05860739340337591,0.8766223788261414
0,P0142,9,-0.12530150012013425,-0.038251988122477036,-0.13092860164251377,0.8744233382330268
0,P0142,11,-0.12615188201530433,-0.03634816503671549,-0.13196230168571746,0.8786872464444445
0,P0142,6,-0.0863844069711777,-0.01506513228157338,-0.09095017545302968,0.8682766789829235
0,P0142,7,-0.09656711472238874,-0.022375870031579547,-0.10135783377724808,0.8729212739463404
0,P0142,10,-0.12393625456629523,-0.037507942550777974,-0.12954395695827084,0.880310649748684
0,P0142,4,-0.08827678939128478,-0.019992414169182637,-0.09252562306354004,0.8508968410359451
0,P0142,5,-0.09160835086210617,-0.01995574259773792,-0.0961345550042097,0.8580416490047919
0,P0142,2,-0.23635281642586067,-0.17510597794686636,-0.2402317863341844,0.7926528228483019
0,P0142,8,-0.10822696989038405,-0.027650921844190383,-0.11343111175941029,0.873326882511129
0,P0142,3,-0.23578083744850337,-0.1739062522870344,-0.23969134528671432,0.7883511932228953
0,P0148,0,0.14115373448413315,0.45859025211364907,0.1103032466439181,1.1153959035873413
0,P0148,9,0.09200277917160407,0.3519995560428294,0.06861890669787837,1.0868091129403683
0,P0148,11,0.10489470503708573,0.37250173762606975,0.0802043586973748,1.1160227167887227
0,P0148,6,0.07686925329237396,0.3137921269233615,0.056718532110361486,1.0342266165639333
0,P0148,7,0.0845625254786198,0.32650484177898675,0.06349756007382674,1.0559376638520825
0,P0148,10,0.10640780582822733,0.3624593619510853,0.08299585645189841,1.105062476479251
0,P0148,4,0.09477949958604161,0.30836038016722106,0.0770431073071254,1.0209185362909634
0,P0148,5,0.06725935095992491,0.30064277761497,0.04797689347744664,1.0179416885709298
0,P0148,2,-0.028264871801679952,0.22031061975493765,-0.04705288779070352,0.9573717559613735
0,P0148,8,0.0932343398230664,0.34201636885590714,0.0711791278601611,1.0721435704238906
0,P0148,3,-0.03517785002438559,0.2150468918047099,-0.05384746431401976,0.9471771918179216
0,P0159,0,0.15965720249446055,0.3470948118712396,0.136470198097152,1.3377302885055542
0,P0159,9,0.25554924097781234,0.4312912794763052,0.23838020921955297,1.1999771331895823
0,P0159,11,0.2529615516784876,0.43811861508743905,0.23466807250670713,1.2143767454789587
0,P0159,6,0.24514708484688125,0.3994046870198423,0.230407850087299,1.1769470993268158
0,P0159,7,0.24826626318542136,0.41132097563965136,0.23253276048168905,1.1880669032683542
0,P0159,10,0.2564939340751867,0.43791163168706226,0.23867465998547788,1.2071978871630626
0,P0159,4,0.25192524884842515,0.3965263684723877,0.23837159162517338,1.1518811558505964
0,P0159,5,0.24157806465316087,0.39314117699153783,0.22717632697645848,1.1678055947408423
0,P0159,2,0.1824220051845072,0.3673110051577751,0.16467368780132868,1.1547846748318846
0,P0159,8,0.25272466050888626,0.4231912651158022,0.2361462073528407,1.1945213410424922
0,P0159,3,0.1889740021612422,0.37294003721894053,0.17137702059082133,1.1492858067895926
0,P0161,0,0.11720996891840421,0.36271965911269993,0.07755452698065968,1.5015499591827393
0,P0161,9,0.17691211578450797,0.4168049092868906,0.14697624829568479,1.2774033574027037
0,P0161,11,0.18392352950685412,0.4345813039394923,0.15213201963494677,1.3046001420142777
0,P0161,6,0.15655776761267867,0.37593222146071736,0.13026960725979667,1.2288313135382039
0,P0161,7,0.16555472306701527,0.3889084521343523,0.1383418521864723,1.2476678421975604
0,P0161,10,0.181209886807437,0.4262547493523336,0.15033454287331868,1.2928623808216417
0,P0161,4,0.12966600681495546,0.35401090419349296,0.10411590267188923,1.1783537236205066
0,P0161,5,0.1524784635971164,0.36544046661272345,0.12759146676894295,1.2043032479287594
0,P0161,2,0.00519913289110213,0.2949938417468047,-0.025106461546818712,1.0841646514934864
0,P0161,8,0.17383502691582178,0.40330867061029185,0.14549711890415493,1.264870954236766
0,P0161,3,0.007223509211344726,0.2956463063091819,-0.022551095575813637,1.0727386845417368
0,P0163,0,0.06282778269798876,0.5482344744282414,-0.0017641918852863538,1.3399373292922974
0,P0163,9,-0.096994289516348,0.3192381849317962,-0.13468701930167612,1.0563801045246122
0,P0163,11,-0.08961229412260424,0.34130791174089564,-0.1298871005463078,1.086373025223371
0,P0163,6,-0.13398640644531298,0.24922746815164892,-0.16575772508193864,0.99127823410313
0,P0163,7,-0.11616962643450333,0.277217848281542,-0.15006769731957237,1.0213541448433678
0,P0163,10,-0.0893250465863079,0.334282227331669,-0.12847001515853831,1.07520991292681
0,P0163,4,-0.1554212558630289,0.1984222212594867,-0.18190827002048743,0.9197133348834624
0,P0163,5,-0.14761522163983812,0.222324347108315,-0.1769243034221147,0.9581679844072
0,P0163,2,-0.29689592941241527,-0.020739222641956497,-0.315020314958502,0.7577311544366496
0,P0163,8,-0.10085395960098385,0.3023296563761161,-0.1366871271603238,1.0426179790883379
0,P0163,3,-0.2971547703919691,-0.02632601758075593,-0.31483471197372376,0.7480734918047094
0,P0178,0,0.033609925591130616,0.3529260455633197,0.007308069292768899,1.1066553592681885
0,P0178,9,0.03711268373594724,0.35713745058828616,0.007789765510623018,1.1785175195777793
0,P0178,11,0.04563390503710072,0.3804316216884867,0.013726198260497197,1.2171110318610832
0,P0178,6,-0.08529501879135491,0.24745170691910365,-0.11272038757670734,1.0985328317840448
0,P0178,7,-0.04536831002302713,0.2894786525058624,-0.07407204628963783,1.129830052927467
0,P0178,10,0.03844820653679588,0.36971703510592896,0.007447179613003887,1.1925388322881674
0,P0178,4,-0.14473221227270403,0.18156068323290847,-0.1688244276254416,1.0185615268195203
0,P0178,5,-0.10761075225839205,0.2239526939281356,-0.13378596047021654,1.0701148169797403
0,P0178,2,-0.2627803286533039,0.026923152513415444,-0.2813124262612912,0.8920650444361815
0,P0178,8,-0.0031141116089325642,0.32822779981324335,-0.032869361585583325,1.166849623056672
0,P0178,3,-0.26338397709103806,0.0230111949428219,-0.28152787711124505,0.8836462254841084
0,P0179,0,0.08780069268900415,0.2433812618662119,0.07353989334524134,1.3734151124954224
0,P0179,9,0.18733674854146407,0.34002024840835726,0.17507745723174878,1.3149582186946538
0,P0179,11,0.20292462151471508,0.35827449038740655,0.19049610229373262,1.3388971420117854
0,P0179,6,0.13541934926450352,0.29701029245086114,0.1222682052763515,1.2609492243193263
0,P0179,7,0.16837311149785344,0.31342533526501415,0.15679756869761205,1.2813901359648339
0,P0179,10,0.20155826167938432,0.3537644702804105,0.1894398825692347,1.329438571450072
0,P0179,4,0.0959287196071595,0.27672493340391946,0.0812756816008727,1.2209333174189214
0,P0179,5,0.10936334843108303,0.28588221514675555,0.09497259855975536,1.2382468319538302
0,P0179,2,-0.030025043916566064,0.23571263906505185,-0.05123615441377393,1.1562219588655818
0,P0179,8,0.18560172731391011,0.32650080813801885,0.17446462569817273,1.2984410851806674
0,P0179,3,-0.03607320165503316,0.2350157116144932,-0.05770770431568994,1.1547958015459736
