,dataset,ind,DF_CC_overall,DF_CC_keep,DF_CC_notkeep,DF_avg_voxel
0,P0115,0,0.15153561106743732,0.7807952947957,0.14114856617527113,4.698873043060303
0,P0115,9,0.13237402788866223,0.6720127403623375,0.1255919793293831,3.6821233616502043
0,P0115,11,0.1188160376033015,0.6815827959889771,0.11148707420715227,3.872540256133566
0,P0115,6,0.13940704985987915,0.6347576984889836,0.1338195055662643,3.168819112191305
0,P0115,7,0.14791780503343385,0.6554200471328308,0.14196354025942576,3.3595137991698225
0,P0115,10,0.13257930411554475,0.67820832360072,0.12561101286362733,3.7476464896829413
0,P0115,4,0.14955723031600437,0.6241440007471493,0.1448851750645971,2.75940454577801
0,P0115,5,0.14709212546312994,0.636631267715138,0.1419463345982209,2.9404726115521553
0,P0115,2,-0.029024696582913033,0.5877194204289883,-0.034549689993148676,2.500689632365047
0,P0115,8,0.14224056733799015,0.6602192495196657,0.1359149701840617,3.510388272631104
0,P0115,3,-0.02953397428707455,0.5841735642796317,-0.03502374942449444,2.5017685102295912
0,P0116,0,0.08158928735603248,0.5392946617378981,0.07996546734690486,2.8780972957611084
0,P0116,9,-0.02211201526546091,0.6126435082687501,-0.023355867218962954,2.1051788092654324
0,P0116,11,-0.02025353980153023,0.6316050352856198,-0.021574352992402904,2.1560139617547036
0,P0116,6,0.01811972423900922,0.5699451196814684,0.017188220675674132,1.6613822924735533
0,P0116,7,0.002736265181427036,0.5593881695587607,0.001697264010521815,1.8350502026693258
0,P0116,10,-0.018173301567751668,0.570978266327858,-0.019406753760601934,2.1282119949499547
0,P0116,4,0.06363691170214776,0.5708619974763047,0.06291005449310443,1.4034782415576443
0,P0116,5,0.03985385083817603,0.557092358896615,0.0390139194563853,1.5666168542951504
0,P0116,2,-0.10990995541144978,0.4735796202097626,-0.11072047762038996,1.2653222283489356
0,P0116,8,0.002292970096246862,0.6057170553257595,0.0011865319527339594,1.9100964956351127
0,P0116,3,-0.10797114959331891,0.47656200360564294,-0.10876751656269616,1.2406733846875542
0,P0123,0,0.018698193776350576,0.6799791747899806,0.016376441201655812,4.457849025726318
0,P0123,9,-0.04253530651189513,0.5455923508578516,-0.04357254002881952,1.9393969058701235
0,P0123,11,-0.05525488839258836,0.5464687164024088,-0.05634430691890005,2.0165317294082445
0,P0123,6,-0.02191609412145257,0.5319416304840052,-0.02281996703797342,1.7297386714164003
0,P0123,7,-0.019896271032561894,0.5364852161446688,-0.020822897949023183,1.7856495085597481
0,P0123,10,-0.05372612728837745,0.540352644918531,-0.054796134411412706,1.9922264075895448
0,P0123,4,-0.013062608020798038,0.5366783714244879,-0.013877351747995577,1.5557197229772188
0,P0123,5,-0.013084349698774545,0.5309548544538061,-0.01393321807451651,1.607489744535931
0,P0123,2,-0.16322644114404813,0.4504460197991832,-0.16409354185325198,1.450791842078418
0,P0123,8,-0.03757941045274866,0.5366872158377277,-0.03856263611504043,1.853080776957491
0,P0123,3,-0.1642546770666022,0.4408234106312515,-0.16510822244477238,1.423773345140633
