,dataset,ind,DF_CC_overall,DF_CC_keep,DF_CC_notkeep
0,P0115,0,0.15153561106743732,0.7837637715092501,0.13226241583442797
0,P0115,9,0.13237402788866223,0.5984673468122367,0.12217586365808
0,P0115,11,0.1188160376033015,0.6238227010123539,0.10698764955654767
0,P0115,6,0.13940704985987915,0.5378953070543876,0.1320154315844144
0,P0115,7,0.14791780503343385,0.5605701875367274,0.13979920268515497
0,P0115,10,0.13257930411554475,0.6160103816136001,0.12164386695055433
0,P0115,4,0.14955723031600437,0.5194858499113172,0.14370022972988145
0,P0115,5,0.14709212546312994,0.524793021292416,0.14061771519005678
0,P0115,2,-0.029024696582913033,0.45738068830428774,-0.036113132953878975
0,P0115,8,0.14224056733799015,0.5776368745034864,0.13315199257315974
0,P0115,3,-0.02953397428707455,0.45338409236056365,-0.0366520153993715
0,P0116,0,0.08158928735603248,0.6200019349873798,0.0781639914439619
0,P0116,9,-0.02211201526546091,0.5768155084695508,-0.024897144863369053
0,P0116,11,-0.02025353980153023,0.6016241564822993,-0.02338927134907384
0,P0116,6,0.01811972423900922,0.5267675494912033,0.016147280098435794
0,P0116,7,0.002736265181427036,0.528165761066051,0.0005473161120712602
0,P0116,10,-0.018173301567751668,0.567539390395901,-0.021058320082405012
0,P0116,4,0.06363691170214776,0.5220958888543652,0.062112779062166834
0,P0116,5,0.03985385083817603,0.5228086916234191,0.038148716908440024
0,P0116,2,-0.10990995541144978,0.4605265043157699,-0.11161971315225654
0,P0116,8,0.002292970096246862,0.5554615213903399,-9.6336510193438e-05
0,P0116,3,-0.10797114959331891,0.43857362790975435,-0.10963901078654568
0,P0123,0,0.018698193776350576,0.6322714149205171,0.014230460286527013
0,P0123,9,-0.04253530651189513,0.47298875129292045,-0.044211154343840514
0,P0123,11,-0.05525488839258836,0.49902552582322385,-0.05713519415594211
0,P0123,6,-0.02191609412145257,0.41340006769606147,-0.023200285178727173
0,P0123,7,-0.019896271032561894,0.43607566952665516,-0.02128289037806634
0,P0123,10,-0.05372612728837745,0.47843159979070415,-0.055515034430022855
0,P0123,4,-0.013062608020798038,0.4071940722654307,-0.014196961554040719
0,P0123,5,-0.013084349698774545,0.4031289193025576,-0.014251653694640999
0,P0123,2,-0.16322644114404813,0.33431097692287565,-0.16449629669466215
0,P0123,8,-0.03757941045274866,0.45105403759528606,-0.03911738280634612
0,P0123,3,-0.1642546770666022,0.33328351560675107,-0.1655251297395655
0,P0124,0,0.043879899121203214,-0.10819325197695717,0.043905686469819336
0,P0124,9,-0.06428279660498165,-0.15819092039282803,-0.0642220515099631
0,P0124,11,-0.07962094497333091,-0.146819169198612,-0.07957649753142053
0,P0124,6,-0.018419251928371648,-0.030809194597754615,-0.01837441813206263
0,P0124,7,-0.02258013579396895,-0.0794231808392657,-0.022520001910532505
0,P0124,10,-0.07248227686848435,-0.10760049020616691,-0.0724493969587402
0,P0124,4,0.014960655084552863,0.020708156892467047,0.015003747407112238
0,P0124,5,0.009776921553715621,-0.0005011702031868942,0.009827210936733376
0,P0124,2,-0.2058008413981461,-0.3197351931068873,-0.2058035127702224
0,P0124,8,-0.05048920484504063,-0.07312729755163798,-0.050447386395587455
0,P0124,3,-0.20006751447085777,-0.2672693300582043,-0.20008917066754664
0,P0131,0,0.11506915201901648,0.5503600110240358,0.11175448575197076
0,P0131,9,0.16683374111846686,0.43432714234278263,0.16477915222272743
0,P0131,11,0.16246893872243262,0.4448756093158436,0.16012969910199562
0,P0131,6,0.20853181240111876,0.42111741500019506,0.20713735112265969
0,P0131,7,0.19309434372980128,0.41895389618992485,0.19147159862364196
0,P0131,10,0.16397030555105632,0.4356942309394552,0.16177486890969386
0,P0131,4,0.23942652364794723,0.41285541840737905,0.23832610826887435
0,P0131,5,0.20985195424232106,0.41549466721717127,0.2085636175042139
0,P0131,2,0.0951037928108344,0.3308903395416108,0.09364228976359254
0,P0131,8,0.18218601715410718,0.41921780150081056,0.18039719838612456
0,P0131,3,0.08459725956243995,0.31497273592570013,0.08313628066374548
0,P0132,0,0.0660486542582067,0.6536912204350126,0.061114599216430844
0,P0132,9,0.003497365166764526,0.519502382009861,0.000644759438052052
0,P0132,11,-0.007557522747574306,0.5265129678323688,-0.010792520995159729
0,P0132,6,0.042279685734186,0.5005027249800929,0.04024042795253084
0,P0132,7,0.030547884756891706,0.5016160971722379,0.028297743990774275
0,P0132,10,-0.002435612159220129,0.5184926242772651,-0.005471268275560092
0,P0132,4,0.09757912470313511,0.491971285500764,0.09603773209328269
0,P0132,5,0.07676443023955244,0.4917133814420813,0.07504491635740032
0,P0132,2,-0.02623741678207608,0.4812999262758026,-0.028234703775859835
0,P0132,8,0.00970555038448175,0.5100546782095546,0.0071157537097448105
0,P0132,3,-0.024725909795441113,0.47626482857351965,-0.026695438902069407
0,P0137,0,0.1380649603481328,0.6522918793117152,0.1326122788987472
0,P0137,9,0.020360838802787752,0.4940957709867547,0.016752952532269105
0,P0137,11,0.023164094971189153,0.5255861904533325,0.019168827127032228
0,P0137,6,0.05496422696004827,0.44027384548932746,0.05233253544839759
0,P0137,7,0.04849896931252045,0.4523856697167365,0.04562963608850178
0,P0137,10,0.031670296387126935,0.5126607876240322,0.027909752390774468
0,P0137,4,0.07592383835266545,0.4319903720537778,0.0737270423321366
0,P0137,5,0.06662264282043112,0.43162881095350936,0.06425510375661103
0,P0137,2,-0.1419531508955744,0.3559159433783111,-0.1447662076239127
0,P0137,8,0.036464125356791256,0.4796908195214768,0.033189246313431425
0,P0137,3,-0.13660183276699958,0.3642742533370332,-0.1394145647701089
0,P0138,0,0.008376728274974331,0.6456976797044439,-0.0021666213673527403
0,P0138,9,-0.07963464842122779,0.48507439177067035,-0.08412140350578219
0,P0138,11,-0.09226929769344955,0.5189167241472115,-0.09754868149696794
0,P0138,6,-0.032707653571512334,0.4264047374761775,-0.03568469330079609
0,P0138,7,-0.04238100104765408,0.44698540660319674,-0.04578725721234143
0,P0138,10,-0.08968124013687266,0.5021333567865647,-0.09462801090531778
0,P0138,4,-0.022314624120309875,0.4116510660931638,-0.024595424658292352
0,P0138,5,-0.03595858859960326,0.41490406441427097,-0.03858653053048841
0,P0138,2,-0.1845738514556321,0.3588512213962574,-0.18699231856724893
0,P0138,8,-0.06594868594931971,0.4533778648719216,-0.06987731804759616
0,P0138,3,-0.18084802934150943,0.3572783293118883,-0.18320026035638287
0,P0139,0,0.1370009690962896,0.573374920141241,0.12787522965690876
0,P0139,9,0.20150627931921364,0.4659797553152492,0.1977481600356007
0,P0139,11,0.20747883683479132,0.48538979825672895,0.20323634653431008
0,P0139,6,0.19210581402115165,0.4253019496662893,0.18927314155961544
