,dataset,ind,DF_CC_overall,DF_CC_keep,DF_CC_notkeep,DF_avg_voxel
0,P0115,0,0.1627394951866356,0.4114895158314167,0.052637701737317404,1.0971437692642212
0,P0115,9,0.14494686868962386,0.40731949167316156,0.04612913360742631,1.0441915883348558
0,P0115,11,0.13433167581957728,0.414428121898475,0.025901704518192185,1.062109992231077
0,P0115,6,0.1439327061802984,0.37658295514840684,0.06273129241792526,1.0059298372322807
0,P0115,7,0.14314659757033416,0.3862979011204946,0.05563686165471065,1.0219918370748846
0,P0115,10,0.14206184029263202,0.41260579961990346,0.03838928126136745,1.055191733575508
0,P0115,4,0.13007477349377386,0.3437603852093475,0.060757328384238335,0.9710251677226245
0,P0115,5,0.15360590546088898,0.37079454101989584,0.08036300610361131,0.9894170419408446
0,P0115,8,0.12335706867530291,0.38751536951882937,0.026718493278045877,1.0277098136039073
0,P0115,2,0.0909293302669611,0.3040822243813629,0.027976403059060198,0.9133858343599677
0,P0115,8,0.14539930322861783,0.3981721624424434,0.05222665731993941,1.0324891863019954
0,P0115,3,0.08226156568635053,0.2996436470753773,0.018094995407672055,0.9135951062553733
0,P0116,0,0.07059986891848877,0.12700997999521854,0.061031286164885616,0.8242709040641785
0,P0116,9,-0.011322407629172028,0.031769793568060166,-0.01835735626152529,0.8414368280840522
0,P0116,11,-0.011102342134505033,0.03887745023904526,-0.019313865769715964,0.8458013495423473
0,P0116,6,0.022555939571775506,0.04555973540406063,0.018865279156186833,0.8385524586413519
0,P0116,7,0.004064057754599551,0.033167271414509265,-0.0006434103949787769,0.8407450931726382
0,P0116,10,-0.01689799726043231,0.028121505301787312,-0.02429675520732498,0.8453934336609876
0,P0116,4,0.01655320076203106,0.030228602026402002,0.014399548444151524,0.8303674632397976
0,P0116,5,0.043673500971674294,0.05113446791949158,0.04250274970103347,0.8320511704994832
0,P0116,8,-0.02958171132540235,0.016019565873005046,-0.0369648261928052,0.8415192715777261
0,P0116,2,0.015888683205034997,0.047417020278416634,0.011092434140688516,0.8136662916267956
0,P0116,8,0.003549873513896925,0.03517928476223434,-0.001577024788812689,0.8385412055178781
0,P0116,3,0.00012293378618475153,0.03438579976361899,-0.005078157447569633,0.8124755052367904
0,P0123,0,0.009328554356861439,0.23374001466798539,-0.04114516360585276,0.9331229329109192
0,P0123,9,-0.012580034235727896,0.1177774604452036,-0.034605097566025124,0.8302769359293299
0,P0123,11,-0.02527881558015134,0.10847931661704135,-0.04793556046094938,0.8320227286916839
0,P0123,6,0.010174054654813873,0.12268169577240291,-0.008730240922817522,0.8295943475221245
0,P0123,7,0.007867408038860331,0.12520899819627565,-0.01188976074387053,0.8291492279525744
0,P0123,10,-0.020459857106385343,0.1116808701034676,-0.04279077971537286,0.8295199713957397
0,P0123,4,0.01707690879815132,0.12092294237339213,-0.00014813977992740053,0.8242145239040505
0,P0123,5,0.02555111185315334,0.1289619885403376,0.00829116704970802,0.8269226081484424
0,P0123,8,-0.017557022590017745,0.10968714388083198,-0.038938084582940714,0.8274197704931239
0,P0123,2,0.01262629223830124,0.09576060836672601,-0.0007353205457540994,0.7972590757075553
0,P0123,8,-0.008390276022271293,0.1168354124849422,-0.02951448617327649,0.829130460285441
0,P0123,3,0.010634621698133197,0.09525548502315034,-0.003004252291061349,0.7967912322430557
0,P0124,0,0.015168138353659147,0.004896456167822348,0.016014793851901916,0.6551243662834167
0,P0124,9,-0.04913652326004172,-0.02798943225259344,-0.05083291098149516,0.7380867699633037
0,P0124,11,-0.06369224589275879,-0.0410313877286016,-0.06550591937566558,0.7352628274464431
0,P0124,6,-0.006959625177905801,0.006081805769909244,-0.00800650463839324,0.7520938907573861
0,P0124,7,-0.020126333206438796,-0.00735777782011165,-0.021151124889769207,0.7465860397690784
0,P0124,10,-0.05750089471935717,-0.037302742470980074,-0.05912128620155243,0.7372461010850037
0,P0124,4,0.006789589951772733,0.018551808593768326,0.005827421870608301,0.7718323057104449
0,P0124,5,0.01266144141589125,0.0288984185500859,0.011341375602259656,0.7636697305872341
0,P0124,8,-0.0583236067762407,-0.03963652322439278,-0.059834579293305865,0.7441300081705073
0,P0124,2,-0.01426325319300451,0.04513995452748985,-0.019343348333467705,0.7805602414155406
0,P0124,8,-0.03541065315133771,-0.01641718213845348,-0.03693863002976499,0.7448406278622962
0,P0124,3,-0.010097952192076506,0.050631880304395416,-0.01531886729988132,0.7803440872056941
0,P0131,0,0.07620809632547342,0.1386212390789159,0.06321126864643553,0.8670215010643005
0,P0131,9,0.15745132536485573,0.21981882135982442,0.14479097810043928,0.89548878234879
0,P0131,11,0.1513566190501857,0.22136949857971017,0.13700418502914438,0.9015765474554731
0,P0131,6,0.16799014966849202,0.21188508353167976,0.1593200560453245,0.8819078235122594
0,P0131,7,0.159505065359393,0.20937788132409338,0.1494874839896664,0.8912169754548572
0,P0131,10,0.14849200300042717,0.21671075771584639,0.13452773847507066,0.9007494893077677
0,P0131,4,0.12677246842650516,0.17004497068432853,0.11827343611162498,0.8746226683182643
0,P0131,5,0.17248013337922158,0.2042029639318289,0.16625060663393096,0.8820054003969687
