,dataset,ind,DF_CC_overall,DF_CC_keep,DF_CC_notkeep,DF_avg_voxel
0,P0115,0,0.15153561106743732,0.7837637715092501,0.13226241583442797,3.247143507003784
0,P0115,9,0.13237402788866223,0.5984673468122367,0.12217586365808,2.428580843480368
0,P0115,11,0.1188160376033015,0.6238227010123539,0.10698764955654767,2.586048704158909
0,P0115,6,0.13940704985987915,0.5378953070543876,0.1320154315844144,2.0579041221658985
0,P0115,7,0.14791780503343385,0.5605701875367274,0.13979920268515497,2.1639038802903285
0,P0115,10,0.13257930411554475,0.6160103816136001,0.12164386695055433,2.4877502902332753
0,P0115,4,0.14955723031600437,0.5194858499113172,0.14370022972988145,1.7906771722284773
0,P0115,5,0.14709212546312994,0.524793021292416,0.14061771519005678,1.9129978209084508
0,P0115,2,-0.029024696582913033,0.45738068830428774,-0.036113132953878975,1.548253656943554
0,P0115,8,0.14224056733799015,0.5776368745034864,0.13315199257315974,2.298463662452333
0,P0115,3,-0.02953397428707455,0.45338409236056365,-0.0366520153993715,1.5564480180413414
0,P0116,0,0.08158928735603248,0.6200019349873798,0.0781639914439619,2.103015661239624
0,P0116,9,-0.02211201526546091,0.5768155084695508,-0.024897144863369053,1.669432459850491
0,P0116,11,-0.02025353980153023,0.6016241564822993,-0.02338927134907384,1.8293759011997401
0,P0116,6,0.01811972423900922,0.5267675494912033,0.016147280098435794,1.3756079464229256
0,P0116,7,0.002736265181427036,0.528165761066051,0.0005473161120712602,1.489980909127761
0,P0116,10,-0.018173301567751668,0.567539390395901,-0.021058320082405012,1.7618639551422295
0,P0116,4,0.06363691170214776,0.5220958888543652,0.062112779062166834,1.2044485792253667
0,P0116,5,0.03985385083817603,0.5228086916234191,0.038148716908440024,1.2649257024051819
0,P0116,2,-0.10990995541144978,0.4605265043157699,-0.11161971315225654,1.0484652376614187
0,P0116,8,0.002292970096246862,0.5554615213903399,-9.6336510193438e-05,1.552586640359373
0,P0116,3,-0.10797114959331891,0.43857362790975435,-0.10963901078654568,1.0718069287095715
0,P0123,0,0.018698193776350576,0.6322714149205171,0.014230460286527013,2.9620108604431152
0,P0123,9,-0.04253530651189513,0.47298875129292045,-0.044211154343840514,1.4284806090555995
0,P0123,11,-0.05525488839258836,0.49902552582322385,-0.05713519415594211,1.4914352960924546
0,P0123,6,-0.02191609412145257,0.41340006769606147,-0.023200285178727173,1.2640435895902151
0,P0123,7,-0.019896271032561894,0.43607566952665516,-0.02128289037806634,1.3272941602817114
0,P0123,10,-0.05372612728837745,0.47843159979070415,-0.055515034430022855,1.4762185131877827
0,P0123,4,-0.013062608020798038,0.4071940722654307,-0.014196961554040719,1.1536187328346885
0,P0123,5,-0.013084349698774545,0.4031289193025576,-0.014251653694640999,1.2040714139539663
0,P0123,2,-0.16322644114404813,0.33431097692287565,-0.16449629669466215,1.0572770163494256
0,P0123,8,-0.03757941045274866,0.45105403759528606,-0.03911738280634612,1.3724392124870404
0,P0123,3,-0.1642546770666022,0.33328351560675107,-0.1655251297395655,1.0513519479796218
